frame,time,nose_x,nose_y,nose_z,nose_visibility,nose_presence,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,left_ear_presence,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,left_shoulder_presence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,right_shoulder_presence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,left_elbow_presence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,right_elbow_presence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,left_wrist_presence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,right_wrist_presence,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,left_hip_presence,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,right_hip_presence,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,left_knee_presence,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,right_knee_presence,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,left_ankle_presence,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,right_ankle_presence,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,left_heel_presence,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,right_heel_presence,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,left_foot_index_presence,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility,right_foot_index_presence,nose_interpolated,left_ear_interpolated,left_shoulder_interpolated,right_shoulder_interpolated,left_elbow_interpolated,right_elbow_interpolated,left_wrist_interpolated,right_wrist_interpolated,left_hip_interpolated,right_hip_interpolated,left_knee_interpolated,right_knee_interpolated,left_ankle_interpolated,right_ankle_interpolated,left_heel_interpolated,right_heel_interpolated,left_foot_index_interpolated,right_foot_index_interpolated,nose_source,left_ear_source,left_shoulder_source,right_shoulder_source,left_elbow_source,right_elbow_source,left_wrist_source,right_wrist_source,left_hip_source,right_hip_source,left_knee_source,right_knee_source,left_ankle_source,right_ankle_source,left_heel_source,right_heel_source,left_foot_index_source,right_foot_index_source
397,7.94,0.4550319015979767,0.3581420481204986,-0.1468846946954727,0.9999786019325256,0.999997615814209,0.4747230112552643,0.3526400625705719,-0.134404107928276,0.9999893307685852,0.99999737739563,0.4947896003723144,0.415323793888092,-0.1446083188056945,0.9999765157699584,0.9999972581863404,0.4648362696170807,0.4135867357254028,0.0579454377293586,0.9999481439590454,0.9999881982803344,0.4577354192733764,0.4922769665718078,-0.0996043682098388,0.9675591588020324,0.999948501586914,0.45404547,0.49076107,,0.2380852699279785,0.9996128678321838,0.4561991989612579,0.4197472333908081,-0.0076941158622503,0.9580480456352234,0.9999982118606568,0.4542693333333333,0.4191248133333333,,0.3413267731666565,0.9999029636383056,0.5136802196502686,0.5778782963752747,-0.0715239346027374,0.999958038330078,0.9999986886978148,0.4885624945163727,0.5766181945800781,0.07149538397789,0.9999647736549376,0.9999990463256836,0.4926001131534576,0.7255954241752625,-0.0699082314968109,0.9887683987617492,0.9999979734420776,0.4758469760417938,0.7247781252861023,0.0893424525856971,0.7734584808349609,0.9999969005584716,0.4963344468937055,0.8582872977623579,-0.0214014947414398,0.9970852136611938,0.9999871253967284,0.47925463318824796,0.8434081969561285,0.1881205886602401,0.9366088509559632,0.9999916553497314,0.5027952761083219,0.8757157250717805,-0.0217821355909109,0.974136471748352,0.999936580657959,0.48625897986071953,0.8616875868577228,0.1949753612279892,0.9127807021141052,0.99998676776886,0.46849732486518136,0.8971365490159788,-0.1156748011708259,0.996581733226776,0.9998094439506532,0.4531547685603161,0.8778098038026513,0.1331222504377365,0.9618343710899352,0.9999154806137084,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
398,7.96,0.4553028047084808,0.3575084507465362,-0.1612248122692108,0.9999794363975524,0.999997854232788,0.4751745760440826,0.3517327904701233,-0.1586982756853103,0.9999897480010986,0.9999977350234984,0.4948442876338959,0.414972722530365,-0.1715853661298751,0.9999775886535645,0.9999972581863404,0.4649422764778137,0.4124241173267364,0.0527113266289234,0.9999499917030334,0.9999939203262328,0.4578542113304138,0.4933787584304809,-0.1336134970188141,0.9690814018249512,0.9999715089797974,0.45389356,0.49164838,,0.2207012176513672,0.999864101409912,0.4562903046607971,0.4203894436359405,-0.0371805839240551,0.9579591155052184,0.9999988079071044,0.45467198,0.41735616,,0.3093926608562469,0.999908447265625,0.5134180784225464,0.5776169300079346,-0.0729311555624008,0.9999614357948304,0.9999991655349731,0.4886605143547058,0.576221764087677,0.0729103311896324,0.999967396259308,0.9999994039535522,0.4925981760025024,0.7250154709815979,-0.0688698217272758,0.9894301891326904,0.9999980926513672,0.4758568704128265,0.7247403359413147,0.094819575548172,0.7813990712165833,0.9999971389770508,0.49699293587591287,0.8578385410608949,-0.0218824278563261,0.9972379803657532,0.999991774559021,0.47913524675202557,0.8434499581376995,0.1918101608753204,0.9402757287025452,0.9999933242797852,0.5035419580819723,0.875551791874679,-0.0224794708192348,0.974811553955078,0.9999614953994752,0.48641452214101,0.8615800321518962,0.1981435567140579,0.915377676486969,0.9999892711639404,0.4687600956930149,0.8975027520339807,-0.11868716776371,0.9967605471611024,0.9998784065246582,0.45300230508917694,0.8777290907773113,0.1319811940193176,0.9639595150947572,0.9999353885650636,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
399,7.98,0.455420047044754,0.3582745492458343,-0.1537484675645828,0.9999793171882628,0.9999953508377076,0.4755511879920959,0.3520632684230804,-0.1508042216300964,0.9999898076057434,0.9999954700469972,0.4948896765708923,0.4151997566223144,-0.1647594273090362,0.9999786019325256,0.9999974966049194,0.4650574028491974,0.4136559665203094,0.0527023449540138,0.999950349330902,0.9999905824661256,0.457754909992218,0.4941978752613067,-0.1322665959596634,0.9696531891822816,0.9999536275863647,0.45374165,0.49253569,,0.2076195478439331,0.9997060894966124,0.4564598798751831,0.4207374155521393,-0.0241331364959478,0.9568777680397034,0.9999983310699464,0.4534155,0.4220808,,0.2831998467445373,0.9999052286148072,0.5136356353759766,0.5789657831192017,-0.0726359263062477,0.9999642968177797,0.9999990463256836,0.4884223341941833,0.5774871110916138,0.0726154819130897,0.9999695420265198,0.9999992847442628,0.4925800859928131,0.7251409387588501,-0.0663922801613807,0.9900638461112976,0.9999983310699464,0.4758735597133636,0.7256199812889099,0.095135323703289,0.7907624244689941,0.999997615814209,0.49739082654317246,0.8576485160347467,-0.0119513748213648,0.9973635673522948,0.999990701675415,0.4790571759908629,0.8434319428074892,0.192504346370697,0.944006323814392,0.9999935626983644,0.5039906782425921,0.8754729792510437,-0.0116181941702961,0.9748722314834596,0.9999558925628662,0.4865144751705492,0.8614874272357614,0.1991007626056671,0.9182787537574768,0.9999897480010986,0.4689155790633534,0.897647006250484,-0.1045853346586227,0.9968945384025574,0.999868392944336,0.45294635209726014,0.8776572785733192,0.1365702152252197,0.966138482093811,0.9999359846115112,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
400,8.0,0.4557558000087738,0.3592298030853271,-0.1375015079975128,0.9999790191650392,0.9999955892562866,0.4756276905536651,0.3531174659729004,-0.127129778265953,0.9999897480010986,0.9999957084655762,0.4949425458908081,0.4161492586135864,-0.1391986310482025,0.9999788403511048,0.9999955892562866,0.4650176167488098,0.4148123562335968,0.0591469295322895,0.999943733215332,0.9999682903289796,0.4575465023517608,0.4914070963859558,-0.1014152988791465,0.9686400294303894,0.9999265670776368,0.45358974,0.493423,,0.2059584558010101,0.9992701411247252,0.4565672874450683,0.4196615219116211,-0.0043985159136354,0.9555389881134032,0.999997854232788,0.453438065,0.42213128,,0.2695641815662384,0.9999359846115112,0.51374351978302,0.5795192122459412,-0.0717794671654701,0.999966025352478,0.999997854232788,0.4887908101081848,0.5781294703483582,0.0717493370175361,0.9999704360961914,0.9999983310699464,0.4925685226917267,0.7251030898094177,-0.0701172724366188,0.990121066570282,0.9999972581863404,0.4758336246013641,0.7254731750488281,0.0840130075812339,0.7901736497879028,0.999996304512024,0.49757623144518826,0.8576442960536842,-0.0246266461908817,0.9973387718200684,0.999987006187439,0.47901506853965076,0.8433449632360112,0.1714547127485275,0.9455457925796508,0.9999902248382568,0.5042006751318354,0.8754608738811425,-0.0251014810055494,0.973443567752838,0.9999364614486694,0.4865679365076943,0.8613917629618747,0.1772539913654327,0.9177250266075134,0.9999845027923584,0.4689917540425188,0.8976190901580672,-0.1140686720609664,0.9968525767326356,0.9998084902763368,0.45295479806847794,0.8775904597519169,0.1177402287721633,0.9670604467391968,0.999902844429016,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
401,8.02,0.4560112357139587,0.3603963255882263,-0.1572830528020858,0.99997878074646,0.9999957084655762,0.4758758246898651,0.3544014394283294,-0.142517551779747,0.99998939037323,0.9999946355819702,0.4948590099811554,0.4175281226634979,-0.1533437371253967,0.9999789595603944,0.9999949932098388,0.4650575220584869,0.4156903326511383,0.0556075945496559,0.9999406933784484,0.9999805688858032,0.457459956407547,0.4941239953041076,-0.12423637509346,0.9688702821731568,0.9999308586120604,0.45373753,0.49786264,,0.1913642883300781,0.9995948672294616,0.4566510915756225,0.4211457073688507,-0.0438841022551059,0.9551600217819214,0.9999979734420776,0.45346063,0.42218176,,0.2454419732093811,0.9998277425765992,0.5140293836593628,0.5803170204162598,-0.0717748776078224,0.9999677538871764,0.9999985694885254,0.489288717508316,0.5789132118225098,0.071744866669178,0.9999714493751526,0.999998927116394,0.492209643125534,0.724543342590332,-0.0719737708568573,0.9903284907341005,0.9999972581863404,0.4757351279258728,0.7253815627098084,0.0886819288134574,0.7886713743209839,0.9999959468841552,0.4975972631316643,0.8577529544874785,-0.0288874376565217,0.9973759651184082,0.9999902248382568,0.47900357203327987,0.8431798316937787,0.1790200620889663,0.9477864503860474,0.9999923706054688,0.5042311872913564,0.875497062445243,-0.0297017022967338,0.973250925540924,0.999954104423523,0.48658400371080257,0.861275030182792,0.1845885664224624,0.9189169406890868,0.9999886751174928,0.469016599696833,0.8974687822493087,-0.1174429878592491,0.99691504240036,0.9998691082000732,0.45299553148674254,0.8775247268743456,0.1193986386060714,0.9683653116226196,0.9999297857284546,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
402,8.04,0.4560366570949554,0.3612549901008606,-0.1198377832770347,0.9999799132347108,0.999997615814209,0.4758276641368866,0.3562591969966888,-0.1100830659270286,0.9999900460243224,0.99999737739563,0.494878351688385,0.4194502532482147,-0.1278985142707824,0.9999796152114868,0.9999961853027344,0.464645504951477,0.4184095561504364,0.0737050324678421,0.9999371767044068,0.9999785423278807,0.4575088322162628,0.4953780472278595,-0.0945503711700439,0.9690214395523072,0.999916672706604,0.45321512,0.5016606,,0.1989025175571441,0.9994603991508484,0.4566008746623993,0.4241386353969574,0.0025054139550775,0.955917239189148,0.9999980926513672,0.4532694300909222,0.4261085710526142,,0.2531731724739074,0.999980330467224,0.5144900679588318,0.5812687873840332,-0.0716754123568534,0.9999685883522034,0.9999958276748656,0.4898125231266022,0.5798617601394653,0.0716432631015777,0.9999716877937316,0.9999971389770508,0.4920363128185272,0.7246099805831909,-0.0783940702676773,0.9905850291252136,0.9999945163726808,0.475437581539154,0.7253640985488892,0.0856348723173141,0.7811739444732666,0.9999933242797852,0.49750203415230565,0.8579015647059021,-0.044551882892847,0.997442662715912,0.9999797344207764,0.47901733410664216,0.842927360451307,0.166707381606102,0.9481274485588074,0.9999834299087524,0.5041414532628106,0.875563131623615,-0.0460883304476738,0.9736981987953186,0.9999010562896729,0.4865717743382322,0.8611192197510713,0.1717523485422134,0.918679654598236,0.9999747276306152,0.469018095092619,0.8972458610167894,-0.133629634976387,0.9970094561576844,0.9997610449790956,0.4530364408359673,0.8774561725018486,0.1124483719468116,0.9687970876693726,0.9998692274093628,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,gpr,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
403,8.06,0.4560619592666626,0.3632812201976776,-0.1244958341121673,0.9999808073043824,0.9999977350234984,0.4757796823978424,0.3584458529949188,-0.1121535450220108,0.999990463256836,0.9999970197677612,0.4944879114627838,0.4215523302555084,-0.1272360235452652,0.9999796748161316,0.9999938011169434,0.4645646512508392,0.4201610088348388,0.0727097019553184,0.9999310970306396,0.9999688863754272,0.4573435485363006,0.4977732300758362,-0.1000803485512733,0.9694154262542723,0.999880075454712,0.45354912,0.502964,,0.2033576965332031,0.9993656277656556,0.4564715325832367,0.4267965257167816,-0.0052059772424399,0.9571388363838196,0.999997854232788,0.4531037885073662,0.4296348646670169,,0.2528544962406158,0.9999616146087646,0.5148488879203796,0.5819470286369324,-0.0716642811894416,0.9999676942825316,0.9999922513961792,0.4899755418300628,0.5803057551383972,0.0716307684779167,0.9999702572822572,0.9999949932098388,0.4902148246765136,0.724673638343811,-0.0814776495099067,0.9902649521827698,0.9999916553497314,0.4752261340618133,0.7250737047195435,0.0809507444500923,0.7708703875541687,0.9999911785125732,0.497386282210029,0.8579001261359906,-0.0588666088879108,0.9973276257514954,0.9999616146087646,0.4790440940912521,0.8424833969914295,0.1413016766309738,0.9460813999176024,0.9999747276306152,0.5040620818282632,0.8755802339885085,-0.0618274323642253,0.973052442073822,0.9998143315315248,0.48653209466478614,0.8607979926751789,0.1441193372011184,0.9164032936096193,0.9999605417251588,0.4691621506964423,0.8970302771299337,-0.1524121314287185,0.9969146847724916,0.9996258020401,0.4529736844392935,0.8773626086317321,0.081428050994873,0.9680284261703492,0.9998206496238708,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,gpr,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
404,8.08,0.4557431638240814,0.3653650879859924,-0.1269178688526153,0.9999810457229614,0.999997615814209,0.4754320681095123,0.360124260187149,-0.1163738742470741,0.9999902844429016,0.999996542930603,0.4936146438121795,0.4224124252796173,-0.1305992603302002,0.9999793767929076,0.9999938011169434,0.4645942151546478,0.4211072325706482,0.0693424567580223,0.9999285936355592,0.9999817609786988,0.4571190178394317,0.4984285831451416,-0.1022417545318603,0.966425895690918,0.9998732805252076,0.45459834,0.50751567,,0.2009187489748001,0.9995645880699158,0.4563102424144745,0.4280717372894287,-0.0085803586989641,0.9546734094619752,0.99999737739563,0.4529619732135005,0.4338741438049467,,0.2548477053642273,0.9999852180480956,0.5149255394935608,0.5824903845787048,-0.0716404020786285,0.9999646544456482,0.999991536140442,0.4916035532951355,0.5808253884315491,0.0716058313846588,0.999967634677887,0.9999955892562866,0.4891289472579956,0.7246753668785095,-0.0814437195658683,0.9863571524620056,0.9999843835830688,0.4750442504882812,0.7226041054725647,0.0680694133043289,0.7354337573051453,0.9999887943267822,0.4972376422587543,0.857820195612654,-0.056262481957674,0.996231973171234,0.9999334812164308,0.47908807057878755,0.8419553997355486,0.1229987516999244,0.9333163499832152,0.9999690055847168,0.5039351579748403,0.8756156777724263,-0.0586334578692913,0.9679165482521056,0.999724805355072,0.48648822272852155,0.8604749806555302,0.1255703717470169,0.9048151969909668,0.9999542236328124,0.469205930377499,0.8968688591376908,-0.1476895660161972,0.9959467053413392,0.9996073842048644,0.45286354658764955,0.8772571059095854,0.0662137567996978,0.9614277482032776,0.9998242259025574,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,gpr,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
405,8.1,0.4555970728397369,0.366703450679779,-0.1391040235757827,0.9999825358390808,0.9999992847442628,0.4751849472522735,0.3606658577919006,-0.1207033619284629,0.999990940093994,0.9999986886978148,0.4929260611534118,0.4226760268211365,-0.1339082270860672,0.9999794363975524,0.9999957084655762,0.4646748006343841,0.423716127872467,0.0654941573739051,0.9999288320541382,0.9999903440475464,0.4566074311733246,0.5013965368270874,-0.1099196970462799,0.9637603163719176,0.999863624572754,0.45460224,0.51442045,,0.2024618983268737,0.9995962977409364,0.4558729231357574,0.4289444088935852,-0.0229783952236175,0.9530484676361084,0.9999970197677612,0.4528479741716584,0.4388027124647375,,0.2664902806282043,0.9999920129776,0.5154563188552856,0.5841415524482727,-0.0715726613998413,0.9999637603759766,0.9999946355819702,0.4933460056781769,0.5824321508407593,0.0715382397174835,0.9999670386314392,0.9999974966049194,0.4885739684104919,0.7248345112800598,-0.0783666521310806,0.9857571721076964,0.9999884366989136,0.4733495712280273,0.7216132974624634,0.0674997493624687,0.7247440218925476,0.999991774559021,0.49707728221422154,0.8576516217285124,-0.0307717267423868,0.9960671067237854,0.9999388456344604,0.47916462545072686,0.84139849436589,0.1323769390583038,0.93112975358963,0.9999783039093018,0.5038063319135114,0.8756473450671844,-0.0302826985716819,0.9672072529792786,0.9997323155403136,0.4864703966326381,0.860152889937512,0.1369392573833465,0.9035471081733704,0.9999669790267944,0.4692172255271532,0.896725015762527,-0.1087827757000923,0.9957831501960754,0.9995991587638856,0.4527211337934297,0.8771414756774925,0.0847662910819053,0.95999413728714,0.9998458623886108,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,gpr,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
406,8.12,0.4552465975284576,0.3697241842746734,-0.1369604617357254,0.9999841451644896,0.9999998807907104,0.4748522043228149,0.3646495640277862,-0.1200141906738281,0.999991774559021,0.9999996423721312,0.4924528002738952,0.4284203350543976,-0.1338990330696106,0.999980330467224,0.999997615814209,0.4646444320678711,0.4301393926143646,0.0645588859915733,0.999932587146759,0.999996304512024,0.456371933221817,0.5080733895301819,-0.1073270291090011,0.9634356498718262,0.9999266862869264,0.4544986266666667,0.5197140333333333,,0.2205927520990371,0.9998111128807068,0.4557127654552459,0.4342055022716522,-0.017037047073245,0.9545097947120668,0.9999985694885254,0.4527661269885539,0.4443843403050774,,0.3023242056369781,0.999997854232788,0.5167481303215027,0.5864749550819397,-0.0714050754904747,0.9999627470970154,0.9999942779541016,0.4951042830944061,0.5850181579589844,0.0713689252734184,0.9999666810035706,0.9999977350234984,0.4884318709373474,0.7252578830718994,-0.0784790590405464,0.9854117631912231,0.9999879598617554,0.4726960361003876,0.7211776471138001,0.0477735176682472,0.7204756140708923,0.999993085861206,0.49692659368326186,0.8574192436425027,-0.032476183027029,0.9959819316864014,0.9999364614486694,0.4792577992508195,0.8409448548074668,0.1102851927280426,0.9292967319488524,0.9999796152114868,0.5037344620500146,0.8758550905959056,-0.0323708914220333,0.9675024151802064,0.9997194409370422,0.4864868009701766,0.8599148894245553,0.1140621677041053,0.9036076068878174,0.9999676942825316,0.46913908112855063,0.8967135138722867,-0.1160532683134079,0.9957505464553832,0.9996459484100342,0.4525472761450959,0.8770681209775419,0.0634097307920456,0.9592524170875548,0.9998642206192015,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,gpr,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
