frame,time,nose_x,nose_y,nose_z,nose_visibility,nose_presence,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,left_ear_presence,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,left_shoulder_presence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,right_shoulder_presence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,left_elbow_presence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,right_elbow_presence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,left_wrist_presence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,right_wrist_presence,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,left_hip_presence,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,right_hip_presence,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,left_knee_presence,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,right_knee_presence,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,left_ankle_presence,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,right_ankle_presence,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,left_heel_presence,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,right_heel_presence,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,left_foot_index_presence,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility,right_foot_index_presence,nose_interpolated,left_ear_interpolated,left_shoulder_interpolated,right_shoulder_interpolated,left_elbow_interpolated,right_elbow_interpolated,left_wrist_interpolated,right_wrist_interpolated,left_hip_interpolated,right_hip_interpolated,left_knee_interpolated,right_knee_interpolated,left_ankle_interpolated,right_ankle_interpolated,left_heel_interpolated,right_heel_interpolated,left_foot_index_interpolated,right_foot_index_interpolated,nose_source,left_ear_source,left_shoulder_source,right_shoulder_source,left_elbow_source,right_elbow_source,left_wrist_source,right_wrist_source,left_hip_source,right_hip_source,left_knee_source,right_knee_source,left_ankle_source,right_ankle_source,left_heel_source,right_heel_source,left_foot_index_source,right_foot_index_source
397,7.94,-0.15093671160007952,-0.34299343413861955,-0.63072380428086,0.9999786019325256,0.999997615814209,0.4747230112552643,0.3526400625705719,-0.134404107928276,0.9999893307685852,0.99999737739563,0.09122011122955703,0.005290050716147263,-0.6168588178749949,0.9999765157699584,0.9999972581863404,-0.09122011122955737,-0.005290050716147263,2.0550542361187034,0.9999481439590454,0.9999881982803344,-0.13447008322567436,0.47399765649380127,-4.986563609125003,0.9675591588020324,0.999948501586914,-0.1569448848361768,0.46476460959008425,,0.2380852699279785,0.9996128678321838,-0.14382691828950592,0.03223240625932688,-4.426755185093979,0.9580480456352234,0.9999982118606568,-0.15558137449178447,0.028441360292631543,,0.3413267731666565,0.9999029636383056,0.20627939500747894,0.9953795949418902,-4.815530858347101,0.999958038330078,0.9999986886978148,0.05329195602978994,0.9877045469241796,-3.9444265223713253,0.9999647736549376,0.9999990463256836,0.0778843477198569,1.834189263141143,-4.805689908220991,0.9887683987617492,0.9999979734420776,-0.02415592574809234,1.8292112460928083,-3.835723313581015,0.7734584808349609,0.9999969005584716,0.10125220239825349,2.70312334051752,-4.510244305969585,0.9970852136611938,0.9999871253967284,-0.0036651703337023454,2.6133073807931186,-3.23408387432141,0.9366088509559632,0.9999916553497314,0.5028821229934692,0.8757067918777466,-0.0217821355909109,0.974136471748352,0.999936580657959,0.4862441420555115,0.8616529703140259,0.1949753612279892,0.9127807021141052,0.99998676776886,0.4685876071453094,0.8973081111907959,-0.1156748011708259,0.996581733226776,0.9998094439506532,0.453073650598526,0.8777492642402649,0.1331222504377365,0.9618343710899352,0.9999154806137084,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
398,7.96,-0.14940897469756195,-0.3414039331232793,-0.6184511793780366,0.9999794363975524,0.999997854232788,0.4751745760440826,0.3517327904701233,-0.1586982756853103,0.9999897480010986,0.9999977350234984,0.09084062836833026,0.007742519289152285,-0.6814007393948545,0.9999775886535645,0.9999972581863404,-0.09084062836833026,-0.007742519289152622,2.2301911741748772,0.9999499917030334,0.9999939203262328,-0.1339069150167118,0.4841287751739952,-5.51695882596445,0.9690814018249512,0.9999715089797974,-0.15797138705002353,0.47361519044423245,,0.2207012176513672,0.999864101409912,-0.14340903605036726,0.04065390751371253,-4.931043291708844,0.9579591155052184,0.9999988079071044,-0.1532417946781009,0.022224017291953068,,0.3093926608562469,0.999908447265625,0.20369289222548723,0.9959504315001866,-5.148259744154301,0.9999614357948304,0.9999991655349731,0.05326871740643789,0.9874735602815429,-4.262143273287327,0.999967396259308,0.9999994039535522,0.07719350671379246,1.8307685133870033,-5.12358353654602,0.9894301891326904,0.9999980926513672,-0.024524783172074682,1.8290968238263907,-4.129025168674473,0.7813990712165833,0.9999971389770508,0.10295693724715044,2.6987056771645443,-4.838093416008819,0.9972379803657532,0.999991774559021,-0.004479175565001473,2.61047371383683,-3.5397212806556766,0.9402757287025452,0.9999933242797852,0.5033283829689026,0.8755612969398499,-0.0224794708192348,0.974811553955078,0.9999614953994752,0.4864022433757782,0.86161208152771,0.1981435567140579,0.915377676486969,0.9999892711639404,0.4685768187046051,0.8973931670188904,-0.11868716776371,0.9967605471611024,0.9998784065246582,0.4530766606330871,0.8777446746826172,0.1319811940193176,0.9639595150947572,0.9999353885650636,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
399,7.98,-0.14867719755287,-0.3400215693820574,-0.5917172354400129,0.9999793171882628,0.9999953508377076,0.4755511879920959,0.3520632684230804,-0.1508042216300964,0.9999898076057434,0.9999954700469972,0.09032073184116939,0.00467400685321695,-0.6583911974497839,0.9999786019325256,0.9999974966049194,-0.09032073184116972,-0.00467400685321695,2.152919678754938,0.999950349330902,0.9999905824661256,-0.13453905091804477,0.48302627434132483,-5.325766958347711,0.9696531891822816,0.9999536275863647,-0.15884028809142267,0.47296134998072226,,0.2076195478439331,0.9997060894966124,-0.1423807641590899,0.038205839652460584,-4.670993320481978,0.9568777680397034,0.9999983310699464,-0.16081520337711688,0.04634034978781007,,0.2831998467445373,0.9999052286148072,0.20383194014765005,0.9963159783575506,-4.9646891690031625,0.9999642968177797,0.9999990463256836,0.05115944618247925,0.9873622699724146,-4.085157584269119,0.9999695420265198,0.9999992847442628,0.07633561537223074,1.8208887099367534,-4.926882416864683,0.9900638461112976,0.9999983310699464,-0.024826347283419144,1.8237894256047371,-3.948794623107432,0.7907624244689941,0.999997615814209,0.10507785662338691,2.6843202760449003,-4.597229876245215,0.9973635673522948,0.999990701675415,-0.0049656303768866586,2.597741294173732,-3.3592021925724342,0.944006323814392,0.9999935626983644,0.503908097743988,0.8755035400390625,-0.0116181941702961,0.9748722314834596,0.9999558925628662,0.4865821897983551,0.8616406917572021,0.1991007626056671,0.9182787537574768,0.9999897480010986,0.4689507782459259,0.8974138498306274,-0.1045853346586227,0.9968945384025574,0.999868392944336,0.4530425369739532,0.8777738809585571,0.1365702152252197,0.966138482093811,0.9999359846115112,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
400,8.0,-0.14705912929979797,-0.3414847942859712,-0.5917486301252891,0.9999790191650392,0.9999955892562866,0.4756276905536651,0.3531174659729004,-0.127129778265953,0.9999897480010986,0.9999957084655762,0.09083311837977426,0.0040579882935585935,-0.6020514100073635,0.9999788403511048,0.9999955892562866,-0.09083311837977426,-0.0040579882935585935,2.0069790896722886,0.999943733215332,0.9999682903289796,-0.13618825457647582,0.46092818203377306,-4.880135129018159,0.9686400294303894,0.9999265670776368,-0.1602086999645127,0.47316619340869076,,0.2059584558010101,0.9992701411247252,-0.14213280623217275,0.025379998876606247,-4.291172201813535,0.9555389881134032,0.999997854232788,-0.16112947830052007,0.04037323931147035,,0.2695641815662384,0.9999359846115112,0.204968799644234,0.995833258174447,-4.700223925382027,0.999966025352478,0.999997854232788,0.05348757667889917,0.987396507016141,-3.8288989642167652,0.9999704360961914,0.9999983310699464,0.07642105883869738,1.8189266959348611,-4.690133185994839,0.990121066570282,0.9999972581863404,-0.025172029125009553,1.8211733843866504,-3.7544495020444697,0.7901736497879028,0.999996304512024,0.10706308141284501,2.684437640612567,-4.413971767577314,0.9973387718200684,0.999987006187439,-0.00573558683351845,2.5979099212573726,-3.223614309813854,0.9455457925796508,0.9999902248382568,0.5044321417808533,0.8754986524581909,-0.0251014810055494,0.973443567752838,0.9999364614486694,0.4865807890892029,0.8616052865982056,0.1772539913654327,0.9177250266075134,0.9999845027923584,0.4690223932266235,0.8974905610084534,-0.1140686720609664,0.9968525767326356,0.9998084902763368,0.4529595375061035,0.8776870965957642,0.1177402287721633,0.9670604467391968,0.999902844429016,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
401,8.02,-0.14562418724079507,-0.34183604696294606,-0.6592818970070126,0.99997878074646,0.9999957084655762,0.4758758246898651,0.3544014394283294,-0.142517551779747,0.99998939037323,0.9999946355819702,0.09061285265594148,0.005587888632763004,-0.6353265406903533,0.9999789595603944,0.9999949932098388,-0.09061285265594181,-0.005587888632763004,2.1008183602752593,0.9999406933784484,0.9999805688858032,-0.1368143778052146,0.4713747338833647,-5.211391438616874,0.9688702821731568,0.9999308586120604,-0.1594508096816965,0.49410979072622335,,0.1913642883300781,0.9995948672294616,-0.14173316239905337,0.027586768066375368,-4.722761563614321,0.9551600217819214,0.9999979734420776,-0.16113466512982313,0.03388710344920861,,0.2454419732093811,0.9998277425765992,0.20718973297616444,0.9955227834521577,-4.89236804259642,0.9999677538871764,0.9999985694885254,0.05673937006999531,0.9869860888016966,-4.019610717516808,0.9999714493751526,0.999998927116394,0.07450179879561727,1.8117659177056427,-4.893577531512935,0.9903284907341005,0.9999972581863404,-0.025681307647834512,1.8168632146175583,-3.9166148187558787,0.7886713743209839,0.9999959468841552,0.1081431247526733,2.681047689506144,-4.631565408366754,0.9973759651184082,0.9999902248382568,-0.006376423755558445,2.5910176750379548,-3.3672599690283938,0.9477864503860474,0.9999923706054688,0.5046644806861877,0.8753077387809753,-0.0297017022967338,0.973250925540924,0.999954104423523,0.4865314662456512,0.8605175614356995,0.1845885664224624,0.9189169406890868,0.9999886751174928,0.4691186845302582,0.8975817561149597,-0.1174429878592491,0.99691504240036,0.9998691082000732,0.4529668986797333,0.87737637758255,0.1193986386060714,0.9683653116226196,0.9999297857284546,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
402,8.04,-0.1453944448539434,-0.3534464205077183,-0.5683404941300135,0.9999799132347108,0.999997615814209,0.4758276641368866,0.3562591969966888,-0.1100830659270286,0.9999900460243224,0.99999737739563,0.09263725430122242,0.0031888271235715722,-0.6177386863293579,0.9999796152114868,0.9999961853027344,-0.09263725430122276,-0.0031888271235715722,2.1186707348667677,0.9999371767044068,0.9999785423278807,-0.1363725844730617,0.4684934952967116,-5.178473558521914,0.9690214395523072,0.999916672706604,-0.16268553567713226,0.5069945629519207,,0.1989025175571441,0.9994603991508484,-0.1419367773222445,0.03192041519755699,-4.583691232776547,0.955917239189148,0.9999980926513672,-0.16235270974461846,0.043992677652904384,,0.2531731724739074,0.999980330467224,0.21282279708114846,0.9948536099897313,-5.038290042550156,0.9999685883522034,0.9999958276748656,0.06159257942769325,0.9862309922258102,-4.159997058757198,0.9999716877937316,0.9999971389770508,0.07522052343151132,1.8120020664821965,-5.079463672467586,0.9905850291252136,0.9999945163726808,-0.026500687540513438,1.8166234915414667,-4.0742529492275334,0.7811739444732666,0.9999933242797852,0.10868969315414775,2.69021930193326,-4.872070214270708,0.997442662715912,0.9999797344207764,-0.005230881881226766,2.5986751249707876,-3.5774201683002174,0.9481274485588074,0.9999834299087524,0.503817617893219,0.875626266002655,-0.0460883304476738,0.9736981987953186,0.9999010562896729,0.486528992652893,0.8608356714248657,0.1717523485422134,0.918679654598236,0.9999747276306152,0.4689860939979553,0.8975552916526794,-0.133629634976387,0.9970094561576844,0.9997610449790956,0.4529670476913452,0.8773609399795532,0.1124483719468116,0.9687970876693726,0.9998692274093628,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,gpr,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
403,8.06,-0.14493499487768924,-0.35563343463322833,-0.6005891393337112,0.9999808073043824,0.9999977350234984,0.4757796823978424,0.3584458529949188,-0.1121535450220108,0.999990463256836,0.9999970197677612,0.0924153604114293,0.004296973980395133,-0.6175148080116346,0.9999796748161316,0.9999938011169434,-0.09241536041142964,-0.004296973980395476,2.1316977629307883,0.9999310970306396,0.9999688863754272,-0.1370188431339204,0.4751000801851972,-5.294599764479861,0.9694154262542723,0.999880075454712,-0.16045636152288653,0.507162553990302,,0.2033576965332031,0.9993656277656556,-0.1424051324630991,0.0366894479413766,-4.708577442298957,0.9571388363838196,0.999997854232788,-0.16320709590829824,0.054221368941821946,,0.2528544962406158,0.9999616146087646,0.2181815345735771,0.9950268445902067,-5.119078709078894,0.9999676942825316,0.9999922513961792,0.06454324601187333,0.984888986560933,-4.233970364173585,0.9999702572822572,0.9999949932098388,0.06602125411248777,1.814855792730827,-5.179694160989035,0.9902649521827698,0.9999916553497314,-0.02656125430683266,1.8173269324422043,-4.176402510109965,0.7708703875541687,0.9999911785125732,0.11043181710780903,2.700981752380214,-5.040029735818873,0.9973276257514954,0.9999616146087646,-0.0024834733198890752,2.609276402834904,-3.8036254056662755,0.9460813999176024,0.9999747276306152,0.5036817193031311,0.8757323622703552,-0.0618274323642253,0.973052442073822,0.9998143315315248,0.4865452349185943,0.8615423440933228,0.1441193372011184,0.9164032936096193,0.9999605417251588,0.4689918160438537,0.897267758846283,-0.1524121314287185,0.9969146847724916,0.9996258020401,0.452806144952774,0.8773645758628845,0.081428050994873,0.9680284261703492,0.9998206496238708,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,gpr,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
404,8.08,-0.14446125614060076,-0.3487334648128324,-0.595434235815158,0.9999810457229614,0.999997615814209,0.4754320681095123,0.360124260187149,-0.1163738742470741,0.9999902844429016,0.999996542930603,0.08972817737576155,0.00403552146944382,-0.6181992026175781,0.9999793767929076,0.9999938011169434,-0.0897281773757619,-0.00403552146944382,2.1258080193680566,0.9999285936355592,0.9999817609786988,-0.13595325823406643,0.47410378799116976,-5.293613189082481,0.966425895690918,0.9998732805252076,-0.15154061091949833,0.5302964618323311,,0.2009187489748001,0.9995645880699158,-0.14095455891395037,0.03903154153748968,-4.714430404587364,0.9546734094619752,0.99999737739563,-0.16165956615641375,0.07491242856191707,,0.2548477053642273,0.9999852180480956,0.22151036779761551,0.9939246575288263,-5.10438072713198,0.9999646544456482,0.999991536140442,0.07729200775459334,0.9836286642211479,-4.218575517547813,0.999967634677887,0.9999955892562866,0.061989553607142804,1.8113293677194584,-5.165002423713134,0.9863571524620056,0.9999843835830688,-0.025107310808659678,1.7985211137120902,-4.240443998715429,0.7354337573051453,0.9999887943267822,0.1103345387222345,2.698159606207065,-5.009286835820682,0.996231973171234,0.9999334812164308,0.00020179910990026183,2.600347301201271,-3.9007722814670984,0.9333163499832152,0.9999690055847168,0.5036885142326355,0.8757395148277283,-0.0586334578692913,0.9679165482521056,0.999724805355072,0.4865279197692871,0.86146479845047,0.1255703717470169,0.9048151969909668,0.9999542236328124,0.4689887464046478,0.8965298533439636,-0.1476895660161972,0.9959467053413392,0.9996073842048644,0.453150063753128,0.8773232102394104,0.0662137567996978,0.9614277482032776,0.9998242259025574,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,gpr,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
405,8.1,-0.1431203422803693,-0.348451463190324,-0.6470138026875581,0.9999825358390808,0.9999992847442628,0.4751849472522735,0.3606658577919006,-0.1207033619284629,0.999990940093994,0.9999986886978148,0.08712812313410033,-0.0032077171357080257,-0.6149656754168648,0.9999794363975524,0.9999957084655762,-0.08712812313410033,0.0032077171357076835,2.0985678872371936,0.9999288320541382,0.9999903440475464,-0.13688836369384896,0.482347274958055,-5.253488420163267,0.9637603163719176,0.999863624572754,-0.14925655826266598,0.562679910725092,,0.2024618983268737,0.9995962977409364,-0.14141887352345733,0.035456211837801455,-4.717226864998889,0.9530484676361084,0.9999970197677612,-0.1600770233529756,0.09626309065739899,,0.2664902806282043,0.9999920129776,0.22609672355953966,0.9927257697455723,-5.016960549742735,0.9999637603759766,0.9999946355819702,0.08971837769910135,0.9821820310939997,-4.134239992478803,0.9999670386314392,0.9999974966049194,0.060284034379847355,1.798851372685412,-5.058866478903289,0.9857571721076964,0.9999884366989136,-0.03362137925384331,1.7789826440705045,-4.159149754270891,0.7247440218925476,0.999991774559021,0.1123966621135594,2.6824993186570607,-4.7652968155580755,0.9960671067237854,0.9999388456344604,0.002377295235389686,2.5784200189148945,-3.758981572847201,0.93112975358963,0.9999783039093018,0.504017174243927,0.8757408261299133,-0.0302826985716819,0.9672072529792786,0.9997323155403136,0.4864993393421173,0.859707772731781,0.1369392573833465,0.9035471081733704,0.9999669790267944,0.4692743122577667,0.896450936794281,-0.1087827757000923,0.9957831501960754,0.9995991587638856,0.45309978723526,0.8772542476654053,0.0847662910819053,0.95999413728714,0.9998458623886108,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,gpr,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
406,8.12,-0.14669767446585838,-0.37493231065982624,-0.6439683316253997,0.9999841451644896,0.9999998807907104,0.4748522043228149,0.3646495640277862,-0.1200141906738281,0.999991774559021,0.9999996423721312,0.08753368128988419,-0.005411156651058864,-0.6246951316184063,0.999980330467224,0.999997615814209,-0.08753368128988454,0.005411156651058864,2.1695966141650267,0.999932587146759,0.999996304512024,-0.13961313248936683,0.4960440191861691,-5.538634010311157,0.9634356498718262,0.9999266862869264,-0.15140651912334113,0.5693276003819467,,0.2205927520990371,0.9998111128807068,-0.14376291796171972,0.03100931790912437,-4.9702141409658465,0.9545097947120668,0.9999985694885254,-0.16231345717416137,0.09509011241803608,,0.3023242056369781,0.999997854232788,0.24048473986793673,0.9896204563788314,-5.3124876347987,0.9999627470970154,0.9999942779541016,0.1042260704611354,0.9804492015881842,-4.413655039749775,0.9999666810035706,0.9999977350234984,0.06221995238447689,1.800372363195804,-5.357021842410905,0.9854117631912231,0.9999879598617554,-0.036844871645745285,1.7746852699224616,-4.562199742115198,0.7204756140708923,0.999993085861206,0.1161112526800122,2.6925327118453914,-5.067411099518557,0.9959819316864014,0.9999364614486694,0.004077364042190328,2.5876867439613127,-4.1686579851130325,0.9292967319488524,0.9999796152114868,0.504015326499939,0.8756528496742249,-0.0323708914220333,0.9675024151802064,0.9997194409370422,0.4863851964473724,0.859019935131073,0.1140621677041053,0.9036076068878174,0.9999676942825316,0.4692763984203338,0.896494448184967,-0.1160532683134079,0.9957505464553832,0.9996459484100342,0.4523742496967315,0.8771587610244751,0.0634097307920456,0.9592524170875548,0.9998642206192015,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,gpr,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
