phase,model,feature_set,Accuracy,F1,Precision,Recall,AUC
utgångsposition,LogisticRegression,pose,0.7,0.8,0.75,0.8571428571428571,0.6190476190476191
utgångsposition,RandomForest,pose,0.6,0.75,0.6666666666666666,0.8571428571428571,0.6666666666666667
utgångsposition,XGBoost,pose,0.7,0.8235294117647058,0.7,1.0,0.0
utgångsposition,LogisticRegression,molab,0.5,0.6666666666666666,0.625,0.7142857142857143,0.6666666666666667
utgångsposition,RandomForest,molab,0.5,0.6666666666666666,0.625,0.7142857142857143,0.5238095238095238
utgångsposition,XGBoost,molab,0.7,0.8235294117647058,0.7,1.0,0.0
utgångsposition,LogisticRegression,combined,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6666666666666667
utgångsposition,RandomForest,combined,0.7,0.8,0.75,0.8571428571428571,0.5238095238095238
utgångsposition,XGBoost,combined,0.7,0.8235294117647058,0.7,1.0,0.0
rörelsestart,LogisticRegression,pose,0.9,0.8,1.0,0.6666666666666666,0.9523809523809524
rörelsestart,RandomForest,pose,0.6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7142857142857143
rörelsestart,XGBoost,pose,0.7,0.0,0.0,0.0,0.0
rörelsestart,LogisticRegression,molab,0.7,0.5714285714285714,0.5,0.6666666666666666,0.7619047619047619
rörelsestart,RandomForest,molab,0.7,0.4,0.5,0.3333333333333333,0.8095238095238095
rörelsestart,XGBoost,molab,0.7,0.0,0.0,0.0,0.0
rörelsestart,LogisticRegression,combined,0.9,0.8571428571428571,0.75,1.0,0.8571428571428572
rörelsestart,RandomForest,combined,0.6,0.0,0.0,0.0,0.8333333333333334
rörelsestart,XGBoost,combined,0.7,0.0,0.0,0.0,0.0
rörelseutförande,LogisticRegression,pose,0.7,0.8,0.75,0.8571428571428571,0.6666666666666667
rörelseutförande,RandomForest,pose,0.6,0.75,0.6666666666666666,0.8571428571428571,0.5714285714285714
rörelseutförande,XGBoost,pose,0.7,0.8235294117647058,0.7,1.0,0.0
rörelseutförande,LogisticRegression,molab,0.5,0.6666666666666666,0.625,0.7142857142857143,0.5714285714285714
rörelseutförande,RandomForest,molab,0.5,0.6666666666666666,0.625,0.7142857142857143,0.4761904761904762
rörelseutförande,XGBoost,molab,0.7,0.8235294117647058,0.7,1.0,0.0
rörelseutförande,LogisticRegression,combined,0.7,0.7692307692307693,0.8333333333333334,0.7142857142857143,0.7142857142857144
rörelseutförande,RandomForest,combined,0.8,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.6666666666666667
rörelseutförande,XGBoost,combined,0.7,0.8235294117647058,0.7,1.0,0.0
total,LogisticRegression,pose,0.9,0.9090909090909091,1.0,0.8333333333333334,0.9583333333333334
total,RandomForest,pose,1.0,1.0,1.0,1.0,1.0
total,XGBoost,pose,0.6,0.75,0.6,1.0,0.0
total,LogisticRegression,molab,0.9,0.9230769230769231,0.8571428571428571,1.0,1.0
total,RandomForest,molab,0.9,0.9090909090909091,1.0,0.8333333333333334,0.9166666666666667
total,XGBoost,molab,0.6,0.75,0.6,1.0,0.0
total,LogisticRegression,combined,1.0,1.0,1.0,1.0,1.0
total,RandomForest,combined,0.9,0.9230769230769231,0.8571428571428571,1.0,0.9791666666666667
total,XGBoost,combined,0.6,0.75,0.6,1.0,0.0
