feature,iraf_score,spearman_rho,p_value,source
delta_pelvis_tilt,iraf_utgångsposition,0.8424242424242423,0.0022200312259168,MoLab
forb_peak_pelvis_gyro,iraf_utgångsposition,0.8303030303030302,0.0029402270232795,MoLab
peak_pelvis_gyro,iraf_utgångsposition,0.8303030303030302,0.0029402270232795,MoLab
mean_L_hip_flexion,iraf_utgångsposition,-0.7818181818181817,0.0075470077810678,MoLab
rms_pelvis_acc,iraf_utgångsposition,0.7333333333333332,0.0158005962505715,MoLab
initial_trunk_angle,iraf_utgångsposition,0.8060606060606059,0.0048620611019646,Pose
mean_trunk_angle,iraf_utgångsposition,0.8060606060606059,0.0048620611019646,Pose
forb_delta_trunk_flexion,iraf_utgångsposition,-0.7781190959104828,0.0080331384959963,Pose
rms_angular_acceleration,iraf_utgångsposition,0.709090909090909,0.0216659233675324,Pose
delta_trunk_flexion,iraf_utgångsposition,-0.6484848484848483,0.0425401276844894,Pose
