feature,iraf_score,spearman_rho,p_value,source
initial_trunk_angle,iraf_total,0.8085143730944859,0.0046352809644627,Pose
mean_trunk_angle,iraf_total,0.8085143730944859,0.0046352809644627,Pose
initial_trunk_angle,iraf_utgångsposition,0.8060606060606059,0.0048620611019646,Pose
mean_trunk_angle,iraf_utgångsposition,0.8060606060606059,0.0048620611019646,Pose
mean_head_trunk_angle,iraf_rörelsestart,-0.7784989441615229,0.0079822260267498,Pose
forb_delta_trunk_flexion,iraf_utgångsposition,-0.7781190959104828,0.0080331384959963,Pose
forb_delta_trunk_flexion,iraf_total,-0.7469512195121952,0.0130451615396485,Pose
mean_trunk_angle,iraf_rörelsestart,0.7395739969534467,0.0144920956185264,Pose
initial_trunk_angle,iraf_rörelsestart,0.7395739969534467,0.0144920956185264,Pose
forb_delta_trunk_flexion,iraf_rörelsestart,-0.7223036487348029,0.0183106314016364,Pose
initial_trunk_angle,iraf_rörelseutförande,0.7161721936907482,0.0198191917763951,Pose
mean_trunk_angle,iraf_rörelseutförande,0.7161721936907482,0.0198191917763951,Pose
forb_rms_trunk_acceleration,iraf_rörelseutförande,0.7099982954692763,0.0214229153902994,Pose
rms_angular_acceleration,iraf_utgångsposition,0.709090909090909,0.0216659233675324,Pose
mean_head_trunk_angle,iraf_rörelseutförande,-0.7038243972478043,0.0231139878653405,Pose
trunk_hip_correlation,iraf_rörelsestart,-0.7006490497453706,0.024018509248755,Pose
rms_angular_acceleration,iraf_total,0.686933264358473,0.0282055607712552,Pose
uppr_rms_trunk_acceleration,iraf_rörelsestart,0.6617241025372943,0.0371522540385022,Pose
mean_left_knee_angle,iraf_rörelseutförande,-0.6606071096975006,0.0375879667321787,Pose
rms_angular_acceleration,iraf_rörelseutförande,0.6544332114760285,0.0400585752699329,Pose
delta_trunk_flexion,iraf_utgångsposition,-0.6484848484848483,0.0425401276844894,Pose
mean_head_trunk_angle,iraf_total,-0.6383008208640678,0.0470244525285979,Pose
uppr_rms_trunk_acceleration,iraf_utgångsposition,0.6242424242424242,0.0537177672171673,Pose
rms_angular_acceleration,iraf_rörelsestart,0.6227991553292183,0.0544386961406657,Pose
mean_right_knee_angle,iraf_rörelsestart,-0.6227991553292183,0.0544386961406657,Pose
forb_rms_trunk_acceleration,iraf_total,0.6139845991168652,0.0589809623690369,Pose
delta_trunk_flexion,iraf_total,-0.6139845991168652,0.0589809623690369,Pose
