frame,time,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,left_shoulder_presence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,right_shoulder_presence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,left_elbow_presence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,right_elbow_presence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,left_wrist_presence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,right_wrist_presence,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,left_hip_presence,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,right_hip_presence,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,left_knee_presence,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,right_knee_presence,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,left_ankle_presence,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,right_ankle_presence
0,0,0.09505016356706619,-0.392802894115448,-0.2759384214878082,0.9999980926513672,0.9999996423721313,-0.10707442462444305,-0.46642738580703735,0.010636743158102036,0.9999369382858276,0.9999912977218628,0.09937667846679688,-0.1581258773803711,-0.30777573585510254,0.9984472393989563,0.9999878406524658,-0.14333924651145935,-0.15941566228866577,0.012910221703350544,0.4180741608142853,0.9999330043792725,0.007715627551078796,0.07363435626029968,-0.2702851891517639,0.9979433417320251,0.9999982118606567,-0.24725350737571716,0.02504337579011917,-0.0723729059100151,0.3798196613788605,0.9999527931213379,0.06729462742805481,0.009868619963526726,-0.04774237796664238,0.9999889135360718,0.9999996423721313,-0.06432890146970749,-0.012774884700775146,0.04926631227135658,0.9999779462814331,0.9999995231628418,-0.20307177305221558,0.2116980105638504,-0.2745276987552643,0.996245801448822,0.9999986886978149,-0.3393319249153137,0.12678948044776917,-0.07361073046922684,0.9625161290168762,0.9999961853027344,-0.16253288090229034,0.5784277319908142,-0.10783977806568146,0.9938911199569702,0.9999891519546509,-0.3019247353076935,0.5383784770965576,0.06886304914951324,0.9664340615272522,0.9999920129776001
1,0,0.09471060335636139,-0.3908461928367615,-0.26822629570961,0.9999980926513672,0.9999994039535522,-0.10666920244693756,-0.46810397505760193,0.02580220066010952,0.9999381303787231,0.9999915361404419,0.09920962899923325,-0.1533604860305786,-0.3025876581668854,0.9985110759735107,0.9999881982803345,-0.12509848177433014,-0.16214600205421448,0.02859492599964142,0.4258287250995636,0.9999457597732544,0.0077874003909528255,0.07491990923881531,-0.2579410672187805,0.9980350732803345,0.9999979734420776,-0.2283984273672104,0.014834634959697723,-0.06078574061393738,0.40681886672973633,0.9999822378158569,0.0667211040854454,0.010100609622895718,-0.04983430355787277,0.9999885559082031,0.9999994039535522,-0.06378709524869919,-0.013174674473702908,0.0513562448322773,0.9999775290489197,0.9999991655349731,-0.2058938592672348,0.21136949956417084,-0.2594718635082245,0.9958989024162292,0.9999969005584717,-0.3387092053890228,0.11605765670537949,-0.0778558999300003,0.960660994052887,0.9999940395355225,-0.16699737310409546,0.5789722204208374,-0.10005085170269012,0.9936228394508362,0.9999717473983765,-0.3017115890979767,0.5377066731452942,0.06388702243566513,0.9642311930656433,0.9999849796295166
2,0,0.09530062973499298,-0.38920238614082336,-0.26775893568992615,0.999998152256012,0.9999995231628418,-0.10366472601890564,-0.46783360838890076,0.02859606221318245,0.9999381899833679,0.9999873638153076,0.09923763573169708,-0.14990653097629547,-0.3007189929485321,0.9985824823379517,0.999992847442627,-0.11873934417963028,-0.16081275045871735,0.030615156516432762,0.42658567428588867,0.9999098777770996,0.009142882190644741,0.07494905591011047,-0.24845677614212036,0.9981572031974792,0.9999988079071045,-0.2268666923046112,0.015094753354787827,-0.05984732136130333,0.41453999280929565,0.9999557733535767,0.06670362502336502,0.010196938179433346,-0.05000158026814461,0.9999885559082031,0.9999995231628418,-0.06377530097961426,-0.01330680400133133,0.0515177957713604,0.9999773502349854,0.9999991655349731,-0.20621812343597412,0.21097515523433685,-0.26030686497688293,0.9957420229911804,0.9999980926513672,-0.3372787535190582,0.11522883176803589,-0.0866774320602417,0.9598543047904968,0.9999929666519165,-0.1671130508184433,0.5792569518089294,-0.10022641718387604,0.9934819340705872,0.9999818801879883,-0.301301509141922,0.5358654856681824,0.06381966918706894,0.9621416926383972,0.9999841451644897
3,0,0.09821483492851257,-0.38684388995170593,-0.26786765456199646,0.999998152256012,0.9999995231628418,-0.09708578139543533,-0.46775737404823303,0.02874688245356083,0.9999391436576843,0.9999881982803345,0.10138975828886032,-0.14630791544914246,-0.30072471499443054,0.9986666440963745,0.9999916553497314,-0.11251891404390335,-0.1602458357810974,0.03197408840060234,0.4357330799102783,0.9999185800552368,0.011194001883268356,0.07734460383653641,-0.24403418600559235,0.9982801675796509,0.9999985694885254,-0.2258378267288208,0.017324049025774002,-0.05349405109882355,0.43271806836128235,0.9999654293060303,0.06674220412969589,0.010620282962918282,-0.05018533021211624,0.9999886155128479,0.9999994039535522,-0.06382250040769577,-0.013825830072164536,0.05166270211338997,0.9999773502349854,0.9999991655349731,-0.20396754145622253,0.21330837905406952,-0.26833677291870117,0.9957872033119202,0.9999978542327881,-0.3325975239276886,0.11548717319965363,-0.10212933272123337,0.9607008099555969,0.9999935626983643,-0.16372381150722504,0.5864766836166382,-0.10575087368488312,0.9935609698295593,0.9999827146530151,-0.30080094933509827,0.5358806848526001,0.05258459597826004,0.9618087410926819,0.9999852180480957
4,0,0.10522852838039398,-0.3868849575519562,-0.2499443143606186,0.9999980926513672,0.9999991655349731,-0.09544196724891663,-0.46775543689727783,0.032923467457294464,0.9999379515647888,0.9999803304672241,0.10327793657779694,-0.1464845985174179,-0.2845815122127533,0.9987075328826904,0.999984622001648,-0.10725510865449905,-0.1601235717535019,0.03156467527151108,0.44667986035346985,0.9998610019683838,0.012752518057823181,0.07725272327661514,-0.23571574687957764,0.9983611702919006,0.999997615814209,-0.22359952330589294,0.01559942215681076,-0.0539407804608345,0.448803186416626,0.9999362230300903,0.06752575933933258,0.011279532685875893,-0.05011496692895889,0.9999887943267822,0.9999994039535522,-0.06462086737155914,-0.014428387396037579,0.05162586271762848,0.9999776482582092,0.9999991655349731,-0.1930987387895584,0.2079729437828064,-0.2895227074623108,0.9959348440170288,0.9999977350234985,-0.3317468464374542,0.10974973440170288,-0.11609276384115219,0.9629603624343872,0.9999924898147583,-0.15355801582336426,0.584869921207428,-0.12478041648864746,0.9938008785247803,0.9999796152114868,-0.29394176602363586,0.5246049761772156,0.04389791190624237,0.9632452726364136,0.9999850988388062
5,0,0.10637245327234268,-0.3865061402320862,-0.25154760479927063,0.9999980926513672,0.9999994039535522,-0.09572745859622955,-0.4666889011859894,0.02870026044547558,0.9999392628669739,0.9999895095825195,0.10346082597970963,-0.14664970338344574,-0.28513437509536743,0.9987413287162781,0.9999877214431763,-0.10958808660507202,-0.15949659049510956,0.021074140444397926,0.4636961817741394,0.99992835521698,0.013932996429502964,0.07737720012664795,-0.23738694190979004,0.9984303116798401,0.9999982118606567,-0.22454695403575897,0.015735384076833725,-0.06179507076740265,0.47253936529159546,0.9999697208404541,0.06766349077224731,0.011716589331626892,-0.05017179623246193,0.9999886155128479,0.9999994039535522,-0.0647747740149498,-0.014895680360496044,0.051704004406929016,0.9999775290489197,0.9999992847442627,-0.18953044712543488,0.21009427309036255,-0.28375768661499023,0.9956443309783936,0.9999969005584717,-0.3320402503013611,0.1087949126958847,-0.11191266775131226,0.9625738263130188,0.9999920129776001,-0.14544644951820374,0.588570773601532,-0.12347465008497238,0.9936125874519348,0.9999731779098511,-0.29130083322525024,0.5244960188865662,0.045301616191864014,0.9620422124862671,0.9999861717224121
6,0,0.10728540271520615,-0.3842187821865082,-0.25279343128204346,0.9999980330467224,0.9999992847442627,-0.0952029898762703,-0.46567264199256897,0.02819686010479927,0.9999390840530396,0.9999854564666748,0.10375368595123291,-0.145379900932312,-0.2861892580986023,0.9987854361534119,0.9999871253967285,-0.10915856808423996,-0.15790583193302155,0.02107033133506775,0.4716424345970154,0.9998931884765625,0.013901697471737862,0.07799283415079117,-0.2391425222158432,0.9984959959983826,0.9999977350234985,-0.22523924708366394,0.016399163752794266,-0.061809856444597244,0.483797162771225,0.9999452829360962,0.0678657665848732,0.012046479620039463,-0.050151847302913666,0.9999886751174927,0.9999995231628418,-0.06498145312070847,-0.0152395348995924,0.05169333517551422,0.9999777674674988,0.9999992847442627,-0.18973784148693085,0.2065829187631607,-0.29091596603393555,0.995704174041748,0.9999977350234985,-0.33209747076034546,0.09620925039052963,-0.12250006943941116,0.9639410376548767,0.9999932050704956,-0.14456064999103546,0.5864255428314209,-0.12612737715244293,0.9936893582344055,0.9999802112579346,-0.2911096513271332,0.5186465978622437,0.03359171003103256,0.9628129005432129,0.999985933303833
7,0,0.10713513195514679,-0.38411861658096313,-0.2533107399940491,0.9999979734420776,0.9999992847442627,-0.09536627680063248,-0.4656221866607666,0.027811560779809952,0.9999380111694336,0.9999831914901733,0.10379567742347717,-0.1456250101327896,-0.28642207384109497,0.9988006949424744,0.9999872446060181,-0.11062797904014587,-0.15783415734767914,0.01956142485141754,0.4739300012588501,0.999883770942688,0.013866775669157505,0.0779663696885109,-0.23933729529380798,0.998519241809845,0.9999978542327881,-0.22571122646331787,0.016497887670993805,-0.06441235542297363,0.48356539011001587,0.9999300241470337,0.06813053786754608,0.0122070936486125,-0.05003845691680908,0.9999886155128479,0.9999994039535522,-0.06525745987892151,-0.01538671925663948,0.051617078483104706,0.9999776482582092,0.9999991655349731,-0.18744157254695892,0.205110102891922,-0.2932344377040863,0.9955682754516602,0.9999973773956299,-0.3324592411518097,0.0930943563580513,-0.12244143337011337,0.963867723941803,0.999991774559021,-0.14442197978496552,0.5850987434387207,-0.12888261675834656,0.993508517742157,0.9999780654907227,-0.29121723771095276,0.5151076316833496,0.034974902868270874,0.961844801902771,0.9999843835830688
8,0,0.1049192026257515,-0.3833107650279999,-0.25436827540397644,0.9999979734420776,0.9999995231628418,-0.09678138792514801,-0.4636327028274536,0.027395693585276604,0.9999374747276306,0.9999861717224121,0.10154660791158676,-0.14578160643577576,-0.2868524193763733,0.9988224506378174,0.9999909400939941,-0.11211435496807098,-0.15673600137233734,0.017996083945035934,0.4742741882801056,0.9999078512191772,0.012024356052279472,0.07809122651815414,-0.23457378149032593,0.998543918132782,0.9999983310699463,-0.22734498977661133,0.01865001954138279,-0.06752953678369522,0.47723260521888733,0.9999302625656128,0.0681445449590683,0.012258746661245823,-0.05007793754339218,0.9999884366989136,0.9999994039535522,-0.06528112292289734,-0.015454347245395184,0.05166923627257347,0.9999772310256958,0.9999991655349731,-0.18767240643501282,0.20578691363334656,-0.29257717728614807,0.9952923655509949,0.9999969005584717,-0.33616650104522705,0.09300261735916138,-0.12000027298927307,0.9618269801139832,0.9999892711639404,-0.14832039177417755,0.5875031352043152,-0.13011693954467773,0.9932385087013245,0.999968409538269,-0.29331618547439575,0.515487551689148,0.036100856959819794,0.9588879346847534,0.9999792575836182
9,0,0.10492298007011414,-0.38336703181266785,-0.2540690302848816,0.9999980330467224,0.9999995231628418,-0.09360232949256897,-0.46365511417388916,0.034159108996391296,0.999937117099762,0.999985933303833,0.10267846286296844,-0.14572377502918243,-0.28731173276901245,0.9988730549812317,0.9999901056289673,-0.10779270529747009,-0.15664203464984894,0.02573235332965851,0.47037848830223083,0.999897837638855,0.013461322523653507,0.07787381857633591,-0.23515747487545013,0.9986092448234558,0.9999982118606567,-0.2256225347518921,0.01869765669107437,-0.0634237676858902,0.47729870676994324,0.9999454021453857,0.06794656813144684,0.012308069504797459,-0.050330162048339844,0.9999884963035583,0.9999994039535522,-0.06508219987154007,-0.015521560795605183,0.05190765857696533,0.999977171421051,0.9999990463256836,-0.18980826437473297,0.20657405257225037,-0.2915438711643219,0.99539715051651,0.9999977350234985,-0.33374324440956116,0.0939660295844078,-0.12112341076135635,0.9625089168548584,0.999993085861206,-0.1488524079322815,0.5881147980690002,-0.13014964759349823,0.9933905601501465,0.9999783039093018,-0.2930697500705719,0.5162068605422974,0.03015526384115219,0.9590908288955688,0.9999842643737793
