PersonId,RörelseId,PhaseId,StartTid,SlutTid,Avg_Gem_Avvikelse
fp1,2a_1,f1,0.0,0.45,0.11
fp1,2a_1,f2,0.45,0.52,0.0
fp1,2a_1,f3,0.52,1.31,0.0
fp2,2a_1,f1,0.0,0.38,0.7
fp2,2a_1,f2,0.38,0.46,0.0
fp2,2a_1,f3,0.46,1.42,0.4
fp3,2a_1,f1,0.0,0.27,0.33
fp3,2a_1,f2,0.27,0.3,0.0
fp3,2a_1,f3,0.3,2.22,0.1
fp4,2a_1,f1,0.0,0.26,0.1
fp4,2a_1,f2,0.26,0.28,0.0
fp4,2a_1,f3,0.28,0.92,0.5
fp5,2a_1,f1,0.0,0.06,0.44
fp5,2a_1,f2,0.06,0.34,1.0
fp5,2a_1,f3,0.34,1.47,0.3
fp1,2a_2,f1,0.0,1.75,0.0
fp1,2a_2,f2,1.75,1.86,0.0
fp1,2a_2,f3,1.86,1.63,0.29
fp2,2a_2,f1,0.0,1.46,0.5
fp2,2a_2,f2,1.46,1.49,0.0
fp2,2a_2,f3,1.49,2.08,0.43
fp3,2a_2,f1,0.0,0.04,0.2
fp3,2a_2,f2,0.04,0.49,0.0
fp3,2a_2,f3,0.49,2.35,0.14
fp4,2a_2,f1,0.0,0.02,0.6
fp4,2a_2,f2,0.02,0.03,1.0
fp4,2a_2,f3,0.03,2.54,0.57
fp5,2a_2,f1,0.0,1.4,0.9
fp5,2a_2,f2,1.4,1.51,0.0
fp5,2a_2,f3,1.51,1.89,0.43
